Station name,Station number,Long/lat coordinates,Site,Measuring program name,Date/Time (sampling) ,Depth,Sample number,Total Depth / DTB,Quality code,Chlorophyll / CHLA,Quality code,Secchi Depth / SECCHI,Quality code,Dissolved Oxygen - Reported / DO,Quality code,Water Temperature / TEMP,Quality code,Total Phosphorus / TP,Quality code,Total Phosphorus - micrograms per liter / TP_ugL,Quality code,Total Nitrogen - Reported / TN,Quality code,Carlson Trophic Index - Total Phosphorus based / CTI_TP,Quality code,Carlson Trophic Index - Chlorophyll a based / CTI_CHLA,Quality code,Carlson Trophic Index - Secchi Depth Based / CTI_SD,Quality code,Alkalinity / ALK,Quality code,pH / PH,Quality code,Dissolved Oxygen Saturation - Reported / DO_SAT,Quality code,Dissolved Oxygen - Reported / DO,Quality code,Dissolved Oxygen Saturation - Reported / DO_SAT,Quality code,Oxidation Reduction Potential / ORP,Quality code,pH / PH,Quality code,Phaeophytin / PHAEO,Quality code,Qualitative Wind Description / WIND,Quality code,Salinity / SAL,Quality code,Salinity / SAL,Quality code,Specific Conductivity / COND,Quality code,Total Dissolved Solids / TDS,Quality code,Total Pigments / TOTAL_PIGMENTS,Quality code,Water Temperature / TEMP,Quality code
,, , , , , ,,,,Chlorophyll_SMAST,,Secchi_Depth_SMAST,,Dissolved_Oxygen_SMAST,,Temperature_SMAST,,Total_Phosphorus_SMAST,,Total Phosphorus - ug/L conversion,,Total_Nitrogen_SMAST,,Carlson Trophic Index - Total Phosphorus,,Carlson Trophic Index - Chlorophyll a,,Carlson Trophic Index - Secchi Depth,,Alkalinity_SMAST,,PH_SMAST,,DO_Saturation_SMAST,,Dissolved Oxygen Concentration - Regional Ponds Program,,Dissolved Oxygen Saturation - Regional Ponds Program,,Oxidation Reduction Potential - Regional Ponds Program,,pH - Regional Ponds Program,,Phaeophytin_SMAST,,,,Salinity - Regional Pond Program,,Salinity_SMAST,,Conductivity - Regional Pond Program,,Total Dissolved Solids - Regional Ponds Program,,,,Temperature - Regional Pond Program,
,,,,,,m,,m,,µg/l,,m,,mg/l,,°C,,μM,,µg/l,,μM,,---,,---,,---,,mg/L CaCO3,,---,,%,,mg/l,,%,,mV,,---,,μM,,---,,psu,,ppt,,µS/cm,,ppm,,µg/l,,°C,
Mill Pond / BA-391-01,BA-391-01,-1.687531877,Mill Pond,Pond and Lake Stewards,9/9/03 0:00,0.5,,0.8,SMAST Pond,0.66,SMAST Pond,0.8,SMAST Pond,6.8,SMAST Pond,17.8,SMAST Pond,0.8,SMAST Pond,24.78,SMAST Pond,45.9,SMAST Pond,50.44,,26.52,,63.22,,1.25,SMAST Pond,8.38,SMAST Pond,,,,,,,,,,,1.34,SMAST Pond,,,,,,,,,,,,,,
Mill Pond / BA-391-01,BA-391-01,-1.687531877,Mill Pond,Pond and Lake Stewards,9/9/03 0:00,1,,,,6.28,SMAST Pond,,,6.4,SMAST Pond,17.4,SMAST Pond,1.3,SMAST Pond,40.27,SMAST Pond,38.6,SMAST Pond,57.44,,48.62,,,,1.23,SMAST Pond,7.21,SMAST Pond,,,,,,,,,,,4.53,SMAST Pond,,,,,,,,,,,,,,
Mill Pond / BA-391-01,BA-391-01,-1.687531877,Mill Pond,Pond and Lake Stewards,9/9/20 0:00,0.5,,0.8,SMAST - Unflagged,0.41,SMAST - Unflagged,0.8,SMAST - Unflagged,9.66,SMAST - Unflagged,23.1,SMAST - Unflagged,1.74,SMAST - Unflagged,,,47.72,SMAST - Unflagged,,,,,,,40,SMAST - Unflagged,6.77,SMAST - Unflagged,,,,,,,,,,,0.26,SMAST - Unflagged,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/9/03 0:00,0.5,,6,SMAST Pond,17.8,SMAST Pond,1.8,SMAST Pond,7.9,SMAST Pond,21.5,SMAST Pond,0.7,SMAST Pond,21.68,SMAST Pond,45.3,SMAST Pond,48.51,,58.84,,51.53,,1.16,SMAST Pond,6.66,SMAST Pond,,,,,,,,,,,0.03,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/9/03 0:00,1,,,,,,,,7.9,SMAST Pond,21.6,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/9/03 0:00,1.5,,,,,,,,7.8,SMAST Pond,21.6,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/9/03 0:00,2,,,,,,,,7.7,SMAST Pond,21.6,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/9/03 0:00,2.5,,,,,,,,7.6,SMAST Pond,21.6,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/9/03 0:00,3,,,,30.67,SMAST Pond,,,7.2,SMAST Pond,21.5,SMAST Pond,,,,,108.8,SMAST Pond,,,64.18,,,,2.9,SMAST Pond,6.47,SMAST Pond,,,,,,,,,,,1.4,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/9/03 0:00,3.5,,,,,,,,6.5,SMAST Pond,21.3,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/9/03 0:00,4,,,,,,,,0.1,SMAST Pond,19.8,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/9/03 0:00,4.5,,,,,,,,0.1,SMAST Pond,16,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/9/03 0:00,5,,,,,,,,,,13.5,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/9/03 0:00,5.5,,,,,,,,,,12.5,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/12/06 0:00,0.5,,6.5,SMAST Pond,14.53,SMAST Pond,2,SMAST Pond,7.66,SMAST Pond,21.1,SMAST Pond,0.74,SMAST Pond,22.91,SMAST Pond,55.01,SMAST Pond,49.31,,56.85,,50.01,,26.03,SMAST Pond,6.76,SMAST Pond,,,,,,,,,,,3.63,SMAST Pond,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/12/06 0:00,1,,,,,,,,7.85,SMAST Pond,20.7,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/12/06 0:00,2,,,,,,,,8.06,SMAST Pond,20.4,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/12/06 0:00,3,,,,,,,,7.3,SMAST Pond,19.8,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/12/06 0:00,4,,,,,,,,1.64,SMAST Pond,18.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinckley Pond / BA-411-01,BA-411-01,-1.686239147,Hinckley Pond,Pond and Lake Stewards,9/12/06 0:00,5,,,,,,,,0.13,SMAST Pond,14.2,SMAST Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
