"pondID","pond_name","years_data","years_profiles","max_per_year","avg_per_year","all_years","all_params","param_years","param_last5avg_surf","last_year","programs"
"BA-391-01","Mill Pond",2,0,1,1,"2003, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","0.8, 23.1, 9.66, 6.77, 40, 1.74, 53.89, 47.72, 0.41, 0.26, 61.64, 21.85, 63.22",2020,"Pond and Lake Stewards"
"BA-411-01","Hinckley Pond",12,9,1,1,"2003, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2016, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","10, 11, 11, 11, 11, 11, 11, 10, 11, 11, 11, 11, 10, 1","1.37, 22.53, 6.65, 6.95, 30.97, 1.14, 35.41, 61.36, 12.11, 2.82, 55.4, 53.98, 56.22, 1",2020,"Pond and Lake Stewards"
"BA-510-01","Garretts Pond",12,12,1,1,"2001, 2003, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Wind, Sal, Cond","12, 12, 12, 1, 12, 12, 12, 11, 12, 12, 12, 11, 11, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","4.6, 22.53, 8.18, NA, 5.9, 4.7, 0.4, 12.49, 26.85, 1.99, 1.19, 40.45, 36.02, 38.05, NA, NA, NA, NA, NA, NA, NA, 1, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"BA-523-01","No Bottom Pond",2,2,1,1,"2003, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","3.54, 24.5, 7.28, 6.09, 6.9, 0.87, 26.95, 53.71, 6.16, 0.03, 51.65, 48.44, 41.78",2020,"Pond and Lake Stewards"
"BA-564-01","Little Pond",13,0,1,1,"2001, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2016, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","12, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 12, 1","0.43, 24.63, 3.97, 5.32, 2.23, 0.86, 26.64, 43.38, 5.86, 1.87, 49.83, 47.88, 72.54, 2",2020,"Pond and Lake Stewards"
"BA-565-01","Hathaway Pond (North)",12,12,2,1.08,"2001, 2003, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Wind, Sal, Cond","12, 12, 12, 1, 12, 12, 12, 11, 12, 12, 12, 11, 11, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","6.2, 22.83, 8.27, NA, 5.87, 2.6, 0.38, 11.66, 16.17, 1.54, 0.74, 38.62, 32.11, 33.72, NA, NA, NA, NA, NA, NA, NA, 2, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"BA-584-01","Mystic Lake",17,17,2,1.12,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","17, 17, 17, 17, 17, 17, 17, 17, 17, 16, 17, 17, 17, 1","3.39, 24.98, 7.94, 7.07, 25.08, 0.64, 19.9, 26.17, 2.86, 1.15, 36.27, 39, 42.5, 2",2020,"Pond and Lake Stewards"
"BA-594-01","Hathaway Pond (South)",2,1,1,1,"2001, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","2.1, 25.1, 7.84, 5.01, 0.7, 0.39, 12.08, 22.09, 2.33, 0.03, 40.08, 38.9, 49.31",2020,"Pond and Lake Stewards"
"BA-605-01","Wequaquet Lake",9,8,1,1,"2005, 2006, 2007, 2008, 2009, 2011, 2012, 2018, 2019","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","8, 8, 8, 8, 8, 7, 7, 7, 7, 7, 7, 7, 8, 1","3.38, 25, 8.1, 6.74, 13.85, 0.62, 19.05, 21.38, 4.85, 2.16, 46.53, 45.72, 42.52, 3",2019,"Pond and Lake Stewards"
"BA-605-03","Wequaquet Lake",2,2,1,1,"2018, 2019","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1","5.01, 25.15, 8.41, 6.72, 12.9, 0.54, 16.65, 23.7, 2.01, 0.78, 44.66, 37.45, 36.77, 2",2019,"Pond and Lake Stewards"
"BA-617-01","Bearse Pond",13,12,2,1.08,"2001, 2003, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","12, 12, 12, 12, 12, 12, 12, 11, 12, 12, 12, 12, 12","2.55, 25.23, 8.25, 6.68, 15.23, 0.64, 19.72, 24.39, 4.13, 1.84, 46.91, 36.57, 47.11",2020,"Pond and Lake Stewards"
"BA-626-01","Shallow Pond",11,11,1,1,"2001, 2003, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 1","2.29, 24.47, 7.7, 6.22, 5.9, 0.5, 15.34, 30.45, 2.12, 1.12, 43.48, 34.74, 48.04, 1",2020,"Pond and Lake Stewards"
"BA-640-01","Middle Pond",17,17,2,1.06,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","16, 17, 17, 17, 17, 17, 17, 17, 17, 16, 17, 17, 16, 1","3.84, 25.65, 7.98, 7.03, 21.98, 0.46, 14.33, 21.56, 2.54, 0.98, 42.5, 34.91, 40.66, 2",2020,"Pond and Lake Stewards"
"BA-646-01","Mary Dunn Pond",11,7,1,1,"2001, 2003, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 1","1.22, 21.83, 8.26, 6.24, 5.53, 0.46, 14.25, 31.55, 1.96, 1.01, 41.2, 32.44, 59.76, 2",2020,"Pond and Lake Stewards"
"BA-664-01","Shubael Pond",12,12,1,1,"2001, 2003, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1","4.85, 22.97, 8.32, 6.73, 18.13, 0.52, 16, 28.72, 2.08, 1.62, 43.98, 37.4, 37.55, 3",2020,"Pond and Lake Stewards"
"BA-668-01","Hamblin Pond",17,17,2,1.18,"2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","16, 17, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16","6.77, 25.68, 7.9, 6.8, 16.7, 0.54, 16.73, 30.62, 1.1, 0.35, 43.45, 27.02, 32.46",2020,"Pond and Lake Stewards"
"BA-675-01","Long Pond",8,8,2,1.12,"2001, 2003, 2005, 2008, 2011, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1","4.62, 24.32, 7.44, 6.96, 22.73, 0.46, 14.25, 47.93, 3.48, 4, 42.23, 35.87, 42.79, 3",2020,"Pond and Lake Stewards"
"BA-691-01","Round Pond",13,13,1,1,"2001, 2003, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 1","2.15, 23.13, 8.66, 6.7, 18.2, 0.9, 27.77, 35.44, 12.5, 3.44, 52.05, 53.15, 49.68, 3",2020,"Pond and Lake Stewards"
"BA-694-01","Muddy Pond",12,12,1,1,"2001, 2003, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1","2.05, 23.97, 6.4, 6.34, 10.43, 0.82, 25.5, 29.77, 5.17, 8.06, 50.85, 45.28, 49.72, 2",2020,"Pond and Lake Stewards"
"BA-719-01","Lumbert Pond",12,2,1,1,"2001, 2003, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1","0.53, 20.77, 10.06, 6.6, 25.53, 0.75, 23.28, 113.08, 13.86, 15.75, 49.04, 54.42, 69.56, 3",2020,"Pond and Lake Stewards"
"BA-723-01","Dunns Pond",4,3,1,1,"2001, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 3, 4, 1","0.58, 24.53, 8.45, 6.33, 13.9, 2.23, 69.17, 84.24, 34, 27.78, 64.88, 65.12, 68.19, 2",2020,"Pond and Lake Stewards"
"BA-737-01","Long Pond",5,5,1,1,"2001, 2003, 2008, 2020, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Sal, Cond","5, 5, 5, 1, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1","3.45, 23.8, 7.78, NA, 6.73, 20.6, 0.73, 22.61, 38.15, 2.32, 0.76, 49.12, 38.86, 42.16, NA, NA, NA, NA, NA, NA, NA, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"BA-746-01","Mill Pond",16,1,1,1,"2001, 2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","14, 16, 16, 16, 16, 15, 14, 16, 16, 16, 14, 15, 14, 1","0.44, 18.85, 7.23, 6.54, 29.12, 1.31, 40.69, 56.22, 2.39, 2.51, 57.04, 38.49, 71.72, 1",2020,"Pond and Lake Stewards"
"BA-748-01","Fawcetts Pond",3,0,1,1,"2001, 2003, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi","3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3","1.22, 20, 8.21, 7.53, 79.3, 0.69, 21.37, 59.39, 20.43, 0.03, 48.3, 60.2, 57.13",2020,"Pond and Lake Stewards"
"BA-756-01","Aunt Bettys Pond",11,1,1,1,"2001, 2003, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 1","0.81, 21.63, 7.64, 7.04, 50.73, 0.55, 17.19, 66.08, 1.84, 0.78, 44.98, 35.46, 63.14, 2",2020,"Pond and Lake Stewards"
"BA-759-01","Lovells Pond",15,15,2,1.07,"2001, 2003, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2018, 2019, 2020, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Wind, Sal, Cond","15, 15, 15, 1, 15, 15, 15, 14, 15, 15, 14, 14, 14, 14, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","3.71, 25.43, 8.36, NA, 6.91, 15.77, 0.49, 15.28, 26.09, 1.24, 0.33, 43.3, 30.03, 41.2, NA, NA, NA, NA, NA, NA, NA, 1, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"BA-782-01","Red Lily Pond",11,1,1,1,"2001, 2003, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 1","0.77, 22.23, 5.25, 6.34, 27.97, 0.45, 14.04, 108.99, 1.62, 2.78, 41.79, 34.93, 64.44, 3",2020,"Pond and Lake Stewards"
"BA-795-01","Lake Elizabeth",12,10,1,1,"2001, 2003, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Wind, Sal, Cond","11, 11, 11, 1, 12, 12, 12, 11, 12, 12, 12, 11, 11, 10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1.65, 23.37, 6.65, NA, 6.75, 35.23, 0.47, 14.45, 36.57, 3.08, 0.54, 42.27, 41.16, 52.85, NA, NA, NA, NA, NA, NA, NA, 2, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"BA-797-01","Micah Pond",16,16,2,1.06,"2001, 2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2016, 2018, 2019, 2020, 2023","Secchi, Temp, DO, DO_sat, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, ATemp, NH4, NOX, DO_Final, DO_sat_Final, PO4, ORP, Wind, Sal, Cond","15, 15, 15, 1, 16, 16, 16, 15, 15, 16, 16, 15, 15, 14, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","6.05, 25.27, 7.24, NA, 5.81, 2.33, 0.31, 9.72, 21.66, 1.1, 0.12, 36.51, 25.08, 34.6, NA, NA, NA, NA, NA, NA, NA, 2, NA, NA",2023,"Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"BA-802-01","Bog Pond",16,0,1,1,"2001, 2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2016, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","14, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 14, 1","0.37, 24.75, 6.8, 6.86, 36.02, 0.95, 29.31, 60.34, 16.34, 1.97, 52.59, 52.13, 74.69, 1",2020,"Pond and Lake Stewards"
"BA-806-01","Schoolhouse Pond",12,12,1,1,"2001, 2003, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 1","1.35, 21.6, 9.36, 7.26, 50.73, 1.72, 53.33, 57.07, 16.74, 5.01, 61.35, 53.95, 55.89, 1",2020,"Pond and Lake Stewards"
"BA-807-01","Joshua Pond",15,14,1,1,"2001, 2003, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2016, 2018, 2019, 2020","Secchi, Temp, DO, pH, Alk, TP, TP_ugL, TN, Chla, Phaeo, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Wind","14, 14, 14, 15, 15, 15, 15, 14, 15, 15, 15, 15, 14, 1","7.02, 25.77, 12.13, 5.2, 0.82, 0.31, 9.72, 15.36, 0.97, 0.42, 36.78, 26.55, 32.2, 2",2020,"Pond and Lake Stewards"
