Total.Depth,Secchi,Temp,DO,pH,Alk,TP,TN,Chla,Phaeo,CTI_TP,CTI_Chlorophyll,CTI_Secchi
266770,266770,259415,264373,267443,271178,266863,257952,265693,259650,256627,340882,265693
263075,259289,259115,266863,267443,339037,269200,341298,259650,266912,264386,341039,259650
264464,340975,259115,340007,267643,,256642,258173,270750,256642,253439,340941,259398
263020,264425,259115,267150,267643,,260827,341285,269053,255091,269366,271302,
340975,260086,259115,267070,267593,,266013,341280,253567,259930,267443,271085,
263123,257183,263682,255674,267784,,257952,257993,256804,256691,267539,266384,
271276,268699,260186,271505,267767,,269366,258295,256691,259980,267643,267767,
271106,338354,266863,267383,267738,,259069,339316,263405,261084,267593,,
271102,338354,263641,263677,259650,,263641,270738,260962,260962,257423,,
263396,338297,263634,263654,266863,,267443,339369,260748,255674,267784,,
271111,255951,263669,263645,265985,,267411,270246,254188,255741,267792,,
255754,271850,263628,255712,263405,,267514,267296,271539,260192,267767,,
271505,262323,263677,268643,257952,,267460,341285,258173,268699,267738,,
257147,271864,263654,267469,259864,,267469,,341285,268738,267738,,
271733,258395,263645,267539,267443,,267539,,265092,337704,,,
338297,,263663,258221,260143,,267528,,339343,337714,,,
269991,,267469,267643,267469,,267643,,339695,270708,,,
271715,,267539,254447,267539,,267593,,262193,257362,,,
269961,,267643,339037,267528,,267811,,270738,339813,,,
271757,,267593,267593,260156,,267784,,254727,339504,,,
271843,,265341,267811,267643,,267792,,255080,257492,,,
270025,,267811,267784,267593,,267767,,265921,255080,,,
258316,,267784,267792,267811,,267738,,267296,267296,,,
268887,,267792,267767,267738,,255080,,267443,254701,,,
266557,,267767,267738,340941,,267296,,266119,,,,
258395,,267738,260498,260143,,266084,,254555,,,,
257397,,267539,267255,267469,,267443,,,,,,
258463,,,267443,260156,,267469,,,,,,
,,,263645,260223,,268614,,,,,,
,,,267469,,,267738,,,,,,
,,,267539,,,,,,,,,
,,,341267,,,,,,,,,
,,,339316,,,,,,,,,
,,,267738,,,,,,,,,
