"Station.name","Lens","DepthClass","StratClass","SurfaceAreaClass","DevelopmentClass","NtPClass","Year","Depth","Long","Lat","Sampling.number","Total.Depth","Final.Depth","Max.Depth","Secchi","MLD","Temp","DO","DO_sat","Alk","TN","TP","Chla","TN_uM","TP_uM","Air.Temperature...AT","Ammonium...NH4","CTI_Chlorophyll","CTI_Secchi","CTI_TP","Dissolved.Oxygen.Concentration...Final...DO_FINAL","Dissolved.Oxygen.Saturation...Final...DO_SAT_FINAL","Nitrate...Nitrite...NOX","Orthophosphate...PO4","Oxidation.Reduction.Potential...ORP","Percent.Secchi...SECCHI_PCT","pH","Phaeo","Sal","Specific.Conductivity...COND","Total.Dissolved.Solids...TDS","Total.Pigments...TOTAL_PIGMENTS","Month","Year_frac","Size","PercentDeveloped","Final.Depth.ft","Secchi_flag","MLD_flag","Temp_flag","DO_flag","DO_sat_flag","Alk_flag","TN_flag","TP_flag","Chla_flag","TN_uM_flag"
"TR-48-01 / Great Pond","Pamet","Deep","Stratified","Medium","Low","P-limited",2001,9,-70.02992414,41.97442176,272052,NA,10.668,11,7.9,5,12.5,0.44,4.06935879036395,4.9,359.97219,14.25,0.75,25.7,0.46,NA,NA,27.78,NA,42.46,NA,NA,NA,NA,NA,NA,5.71,1.31,NA,NA,NA,NA,9,2001.75,17.64330119,7,35,2,2,2,2,2,2,2,2,2,2
"TR-48-01 / Great Pond","Pamet","Deep","Stratified","Medium","Low","P-limited",2003,11,-70.02992414,41.97442176,270345,NA,10.668,11,4.94,1,8.65,0.12,1.02012163910879,1.74,857.21004,27.88,10.72,61.2,0.9,NA,NA,53.87,NA,52.14,NA,NA,NA,NA,NA,NA,6.35,21.61,NA,NA,NA,NA,9,2003.75,17.64330119,7,35,2,2,2,2,2,2,2,2,2,2
"TR-48-01 / Great Pond","Pamet","Deep","Stratified","Medium","Low","P-limited",2004,10,-70.02992414,41.97442176,262715,NA,10.668,11,6.6,2,9,0.1,0.85521763317217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2004.66666666667,17.64330119,7,35,2,2,2,2,2,4,4,4,4,4
"TR-48-01 / Great Pond","Pamet","Deep","Stratified","Medium","Low","P-limited",2005,9,-70.02992414,41.97442176,254872,NA,10.668,11,5.2,6,12.6,0.02,0.18537267730346,11.91,316.131219,15.49,22.35,22.57,0.5,NA,NA,61.08,NA,43.66,NA,NA,NA,NA,NA,NA,6.04,4.4,NA,NA,NA,NA,9,2005.75,17.64330119,7,35,2,2,2,2,2,2,2,2,2,2
"TR-48-01 / Great Pond","Pamet","Deep","Stratified","Medium","Low","P-limited",2006,9,-70.02992414,41.97442176,256419,NA,10.668,11,6.35,5,11.46,0.29,2.62166303506941,6.66,353.529108,11.43,3.92,25.24,0.37,NA,NA,44,NA,39.28,NA,NA,NA,NA,NA,NA,5.68,3.75,NA,NA,NA,NA,9,2006.75,17.64330119,7,35,2,2,2,2,2,2,2,2,2,2
"TR-48-01 / Great Pond","Pamet","Deep","Stratified","Medium","Low","P-limited",2007,9,-70.02992414,41.97442176,264065,NA,10.668,11,5.85,4,11.26,0.87,7.83025021497136,1.6,322.714368,6.55,0.95,23.04,0.21,NA,NA,30.08,NA,31.25,NA,NA,NA,NA,NA,NA,5.44,1.33,NA,NA,NA,NA,8,2007.66666666667,17.64330119,7,35,2,2,2,2,2,2,2,2,2,2
"TR-48-01 / Great Pond","Pamet","Deep","Stratified","Medium","Low","P-limited",2010,9,-70.02992414,41.97442176,258510,NA,10.668,11,7,5,11.7,0.0451134920462355,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2010.75,17.64330119,7,35,2,2,2,2,2,4,4,4,4,4
"TR-48-01 / Great Pond","Pamet","Deep","Stratified","Medium","Low","P-limited",2012,9,-70.02992414,41.97442176,268474,NA,10.668,11,6.35,4,11.46,0.39,3.52568477130024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2012.66666666667,17.64330119,7,35,2,2,2,2,2,4,4,4,4,4
"TR-48-01 / Great Pond","Pamet","Deep","Stratified","Medium","Low","P-limited",2013,9,-70.02992414,41.97442176,258736,NA,10.668,11,5,4,11.14,0.53,4.75746588328555,5,245.11725,5.88,2.44,17.5,0.19,NA,NA,39.35,NA,29.7,NA,NA,NA,NA,NA,NA,5.9,0.03,NA,NA,NA,NA,8,2013.66666666667,17.64330119,7,35,2,2,2,2,2,2,2,2,2,2
"TR-48-01 / Great Pond","Pamet","Deep","Stratified","Medium","Low","P-limited",2023,9.4,-70.02992414,41.97442176,357889.5,NA,10.668,11,7.8,5,12.38,0,0,8.93,686.3283,NA,11.07,49,0.19,NA,28.09,NA,NA,NA,0,0,0.05,0,-28.18,NA,6.105,68.56,0.14,290.19,187.41,NA,8,2023.66666666667,17.64330119,7,35,2,2,2,2,2,2,2,4,2,2
"TR-49-01 / Round Pond (East)","Pamet","Deep","Mixed","Small","Very Low","P-limited",2001,6,-70.01025703,41.97084949,272072,NA,10.3632,7,4.7,6,23.9,7.7,89.3038118465115,1,197.49447,14.25,2.99,14.1,0.46,NA,NA,41.34,NA,42.46,NA,NA,NA,NA,NA,NA,5.56,1.54,NA,NA,NA,NA,9,2001.75,7.186092649,1,34,2,2,2,2,2,2,2,2,2,2
"TR-49-01 / Round Pond (East)","Pamet","Deep","Mixed","Small","Very Low","P-limited",2004,6.4,-70.01025703,41.97084949,262748,NA,10.3632,7,6.3,7,23.7,7.665,88.5745367025797,2.62,98.0469,3.72,1.99,7,0.12,NA,NA,37.35,NA,23.09,NA,NA,NA,NA,NA,NA,5.82,0.07,NA,NA,NA,NA,8,2004.66666666667,7.186092649,1,34,2,2,2,2,2,2,2,2,2,2
"TR-49-01 / Round Pond (East)","Pamet","Deep","Stratified","Small","Very Low","P-limited",2003,7,-70.01025703,41.97084949,270359,NA,10.3632,7,7.52,5,18.99,4.94,52.2275377124917,0.13,145.66968,18.58,1.61,10.4,0.6,NA,NA,35.27,NA,46.29,NA,NA,NA,NA,NA,NA,5.39,0.75,NA,NA,NA,NA,9,2003.75,7.186092649,1,34,2,2,2,2,2,2,2,2,2,2
"TR-50-01 / Round Pond (West)","Pamet","Deep","Stratified","Very Small",NA,"P-limited",2001,7,-70.03216632,41.97121453,272081,NA,9.144,9,5.5,4,11.8,1.22,11.1121061140703,0,516.84723,87.04,8,36.9,2.81,NA,NA,51,NA,68.56,NA,NA,NA,NA,NA,NA,4.67,0.71,NA,NA,NA,NA,9,2001.75,2.722271892,NA,30,2,2,2,2,2,2,2,2,2,2
"TR-50-01 / Round Pond (West)","Pamet","Deep","Stratified","Very Small",NA,"P-limited",2003,9,-70.03216632,41.97121453,270369,NA,9.144,9,4.36,2,7.25,0.13,1.06723242031098,1.38,1725.62544,520.36,1.04,123.2,16.8,NA,NA,30.98,NA,94.34,NA,NA,NA,NA,NA,NA,6.21,0.79,NA,NA,NA,NA,9,2003.75,2.722271892,NA,30,2,2,2,2,2,2,2,2,2,2
"TR-52-01 / Snow Pond","Pamet","Deep","Stratified","Small","Very Low","P-limited",2001,6,-70.02760885,41.96976029,272116,NA,7.9248,7,7,5,21.1,2.4,26.4255788424627,23.9,245.11725,10.84,1.05,17.5,0.35,NA,NA,31.08,NA,38.52,NA,NA,NA,NA,NA,NA,5.69,0.75,NA,NA,NA,NA,9,2001.75,7.439522609,3,26,2,2,2,2,2,2,2,2,2,2
