"Station.name","Year","Depth","Long","Lat","Sampling.number","Total.Depth","Secchi","Temp","DO","DO_sat","pH","Alk","TP","TP_ugL","TN","Chla","Phaeo","CTI_TP","CTI_Chlorophyll","CTI_Secchi","ATemp","NH4","NOX","DO_Final","DO_sat_Final","PO4","ORP","Wind","Sal","Cond","TDS","TPigm","Month","Total.Depth_flag","Secchi_flag","Temp_flag","DO_flag","DO_sat_flag","pH_flag","Alk_flag","TP_flag","TP_ugL_flag","TN_flag","Chla_flag","Phaeo_flag","CTI_TP_flag","CTI_Chlorophyll_flag","CTI_Secchi_flag","ATemp_flag","NH4_flag","NOX_flag","DO_Final_flag","DO_sat_Final_flag","PO4_flag","ORP_flag","Wind_flag","Sal_flag","Cond_flag","TDS_flag","TPigm_flag"
"Mill Pond / BA-391-01",2003,0.5,-70.38537058,41.70906135,269227,0.8,0.8,17.8,6.8,NA,7.21,1.23,1.3,40.27,38.6,6.28,4.53,57.44,48.62,63.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
"Mill Pond / BA-391-01",2020,0.5,-70.38537058,41.70906135,341186,0.8,0.8,23.1,9.66,NA,6.77,40,1.74,53.89,47.72,0.41,0.26,61.64,21.85,63.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
"Hinckley Pond / BA-411-01",2003,0.5,-70.32363714,41.70442684,269118,6,1.8,21.5,7.9,NA,6.47,2.9,0.7,21.68,108.8,30.67,1.4,48.51,64.18,51.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
"Hinckley Pond / BA-411-01",2006,0.5,-70.32363714,41.70442684,255069,6.5,2,21.1,7.66,NA,6.39,45,1.75,54.24,62.99,55.03,19.46,61.74,69.92,50.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
"Hinckley Pond / BA-411-01",2007,0.5,-70.32363714,41.70442684,263039,5.97,2.83,22.3,5.99,NA,6.25,13.7,1.04,32.31,63.57,12.89,1.73,54.26,55.68,45.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
"Hinckley Pond / BA-411-01",2008,0.5,-70.32363714,41.70442684,264269,6.2,0.75,19.1,7.17,NA,6.59,13,1.22,37.79,63.72,39.16,2.86,56.52,66.58,64.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
"Hinckley Pond / BA-411-01",2009,1,-70.32363714,41.70442684,265610,NA,NA,18.6,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Hinckley Pond / BA-411-01",2010,1,-70.32363714,41.70442684,257598,NA,NA,NA,NA,NA,7.68,16.4,0.62,19.1,NA,12.11,1.62,46.68,55.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,4,4,4,4,2,2,2,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4
"Hinckley Pond / BA-411-01",2011,0.5,-70.32363714,41.70442684,266816,6.35,1.43,20,6.47,NA,6.47,61.6,17.93,555.36,374.96,14.25,18.67,95.28,56.66,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
"Hinckley Pond / BA-411-01",2012,0.5,-70.32363714,41.70442684,267976,6.25,4.88,19.6,6.6,NA,6.75,7.9,3.45,106.86,173.3,64.52,19.92,71.51,71.48,37.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
