CCC_GIS_ID,Name,Alt_Name,Great_Pond,Acres,Town,Aquifer Lens,Volume__cubic_meters_,Final Depth,Depth Class,% 100ft buffer developed,buffer development class
DE-706,Kelleys Pond,Kellys Pond,Yes - not on State List,31.62393668,Dennis,Monomoy,,30,deep,49%,High
FA-1027,Nobska Pond, ,No,8.88474529,Falmouth,Sagamore,,#N/A,#N/A,12%,Medium
MA-987,Flat Pond,Great Flat Pond,Yes - on State List,39.63867124,Mashpee,Sagamore,,6,shallow,24%,Medium
FA-933,Fresh Pond, ,No,7.601830932,Falmouth,Sagamore,,11.81088,shallow,27%,High
FA-1008,Palmers Pond, ,No,3.622280101,Falmouth,Sagamore,,#N/A,#N/A,51%,Very High
MA-992,Lily Pond,Salt Pond,No,1.139897063,Mashpee,Sagamore,,#N/A,#N/A,61%,Very High
MA-982,Beccas Pond, ,No,1.353883163,Mashpee,Sagamore,,#N/A,#N/A,,#N/A
FA-832,Dam Pond, ,No,6.693697831,Falmouth,Sagamore,,6.5616,shallow,13%,Medium
YA-630,Labans Pond, ,No,5.415366219,Yarmouth,Sagamore,,20,deep,19%,Medium
BO-239,Bourne Pond, ,Yes - not on State List,10.89270032,Bourne,Plymouth-Carver,,#N/A,#N/A,56%,Very High
FA-996,Shivericks Pond, ,Yes - on State List,7.660038581,Falmouth,Sagamore,,#N/A,#N/A,46%,High
BA-802,Bog Pond, ,No,7.414511902,Barnstable,Sagamore,,3.2808,shallow,7%,Low
WE-62,Perch Pond, ,No,3.302313454,Wellfleet,Chequesset,,#N/A,#N/A,0%,Very Low
FA-990,Weeks Pond, ,No,4.694247524,Falmouth,Sagamore,,#N/A,#N/A,37%,High
BA-878,Crystal Lake, ,Yes - not on State List,11.01207033,Barnstable,Sagamore,,40.02576,deep,27%,High
BA-875,Parker Pond, ,Yes - not on State List,12.31543189,Barnstable,Sagamore,,31.1676,deep,38%,High
BA-764,West Pond, ,No,7.445987293,Barnstable,Sagamore,,#N/A,#N/A,,#N/A
CH-582,Meadow View Pond, ,No,0.675619526,Chatham,Monomoy,,8.333232,shallow,42%,High
CH-341,Fox Pond, ,No,4.734509775,Chatham,Monomoy,,#N/A,#N/A,29%,High
