miss_coords,miss_depths,miss_DO_final,non_num_TP,non_num_DO,non_num_chla,non_num_phaeo
257913,259578,341535,10205,9051,7409,6800
259452,259581,341544,10207,,,15955
268350,265628,341553,11372,,,
341802,266107,341558,11659,,,
341805,268685,341565,12814,,,
341808,342221,341576,12824,,,
341811,342224,341605,13695,,,
341814,342227,341612,13704,,,
341817,342230,341631,13705,,,
341820,342233,,,,,
341823,342236,,,,,
341826,342239,,,,,
342150,342242,,,,,
342153,342245,,,,,
342156,342248,,,,,
342159,342251,,,,,
342162,342254,,,,,
342165,342257,,,,,
342168,342260,,,,,
342254,342263,,,,,
342260,342266,,,,,
342293,342269,,,,,
342321,342272,,,,,
342324,342275,,,,,
342351,342278,,,,,
342354,342281,,,,,
342432,342287,,,,,
342435,342293,,,,,
342567,344406,,,,,
342570,344409,,,,,
342678,344412,,,,,
342681,344415,,,,,
342693,344418,,,,,
342696,344421,,,,,
342699,344424,,,,,
342702,344427,,,,,
342720,344430,,,,,
342723,344433,,,,,
342726,344436,,,,,
342825,344439,,,,,
343016,344442,,,,,
343019,344445,,,,,
343022,344448,,,,,
343025,344451,,,,,
343028,344454,,,,,
343031,344457,,,,,
343034,344460,,,,,
343037,344463,,,,,
343040,344466,,,,,
343043,344469,,,,,
343082,344472,,,,,
343085,344475,,,,,
343088,344478,,,,,
343091,344481,,,,,
343094,344484,,,,,
343097,344487,,,,,
343100,344490,,,,,
343103,344493,,,,,
343106,344496,,,,,
343109,344499,,,,,
343112,344502,,,,,
343115,344505,,,,,
343118,344508,,,,,
343121,344511,,,,,
343124,344514,,,,,
343127,344517,,,,,
343631,344520,,,,,
343634,344523,,,,,
343667,344526,,,,,
343670,344529,,,,,
343673,344532,,,,,
343676,344535,,,,,
343679,344538,,,,,
343682,344541,,,,,
343685,344544,,,,,
343688,344547,,,,,
343691,,,,,,
343694,,,,,,
344060,,,,,,
344063,,,,,,
344066,,,,,,
344069,,,,,,
344072,,,,,,
344075,,,,,,
344078,,,,,,
344081,,,,,,
344415,,,,,,
344421,,,,,,
344469,,,,,,
344478,,,,,,
344547,,,,,,
