"pondID","pond_name","years_data","years_profiles","max_per_year","avg_per_year","all_years","params","param_years","last_year","param_last_values","program"
"PR-1-01","Grassy Pond",1,0,1,1,"2001","Total.Depth...DTB, Secchi, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2001,"0.3, 0.3, NA, NA, 26.64, NA, NA, NA, 51.48, 33.69, 77.35, NA","Pond and Lake Stewards"
"PR-9-01","Great Pond",3,0,1,1,"2001, 2003, 2004","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","2, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3",2004,"2, 0.5, NA, NA, NA, NA, 228.28, NA, NA, NA, 82.46, 62.64, 69.99, NA","Pond and Lake Stewards"
"PR-16-01","Pasture Pond",1,0,1,1,"2001","Total.Depth...DTB, Secchi, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2001,"0.5, 0.5, NA, NA, 20.44, NA, NA, NA, 47.66, 27.24, 69.99, NA","Pond and Lake Stewards"
"PR-22-01","Bennett Pond",2,0,1,1,"2001, 2003","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2",2003,"2, 0.5, 14.2, 3.8, NA, NA, 27.88, NA, NA, NA, 52.14, 37.1, 69.99, NA","Pond and Lake Stewards"
"PR-25-01","Clapps Round Pond",1,0,1,1,"2001","Total.Depth...DTB, Secchi, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2001,"0.3, 0.3, NA, NA, 224.56, NA, NA, NA, 82.22, 72.67, 77.35, NA","Pond and Lake Stewards"
"PR-26-01","Duck Pond",2,0,1,1,"2003, 2004","Total.Depth...DTB, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, Quality.code.27","2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2",2004,"2, NA, NA, NA, NA, 14.56, NA, NA, NA, 42.77, 36.9, NA","Pond and Lake Stewards"
"PR-28-01","Clapps Pond",9,3,1,1,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2023","Total.Depth...DTB, Secchi, Temp, DO, DO_sat, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Air.Temperature...AT, Alkalinity...ALK.1, Ammonium...NH4, Chlorophyll...CHLA.1, Dissolved.Oxygen.Concentration...Final...DO_FINAL, Dissolved.Oxygen.Saturation...Final...DO_SAT_FINAL, Nitrate...Nitrite...NOX, Orthophosphate...PO4, pH...PH.2, Quality.code.27, Phaeophytin...PHAEO.1, Quality.code.28, Sal, Secchi.Depth...SECCHI.1, Quality.code.32, Total.Dissolved.Solids, Total.Nitrogen...Reported...TN.1, Quality.code.35, Total.Phosphorus...TP.1, Quality.code.36, ORP, Conductivity","9, 6, 8, 8, 1, 7, 8, 8, 8, 8, 8, 8, 8, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2023,"0.8, 0, 18.5, 6.85, 73.64, NA, NA, 7.56, NA, NA, NA, 33.32, 33.4, 0, NA, 4.95, NA, 3.67, 6.85, 73.64, NA, NA, 5.55, NA, NA, NA, 0.06, NA, NA, 78.02, 69.7, NA, 1.49, NA, 205.45, 120.03","Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"TR-38-01","Village Pond",2,1,2,1.5,"2003, 2023","Total.Depth...DTB, Secchi, Temp, DO, DO_sat, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Air.Temperature...AT, Alkalinity...ALK.1, Ammonium...NH4, Chlorophyll...CHLA.1, Dissolved.Oxygen.Concentration...Final...DO_FINAL, Dissolved.Oxygen.Saturation...Final...DO_SAT_FINAL, Nitrate...Nitrite...NOX, Orthophosphate...PO4, pH...PH.2, Quality.code.27, Phaeophytin...PHAEO.1, Quality.code.28, Sal, Secchi.Depth...SECCHI.1, Quality.code.32, Total.Dissolved.Solids, Total.Nitrogen...Reported...TN.1, Quality.code.35, Total.Phosphorus...TP.1, Quality.code.36, ORP, Conductivity","2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2023,"0.84, 0.84, 17.02, 9.57, 99.71, NA, NA, 68.14, NA, NA, NA, 65.02, 45.55, 62.51, NA, 8.92, NA, 1.79, 9.57, 99.71, NA, NA, 6.4, NA, NA, NA, 0.15, NA, NA, 0.2, 34.6, NA, 1.09, NA, 155.78, 310.63","Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"TR-48-01","Great Pond",11,11,2,1.18,"2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2012, 2013, 2023","Total.Depth...DTB, Secchi, Temp, DO, DO_sat, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Air.Temperature...AT, Alkalinity...ALK.1, Ammonium...NH4, Chlorophyll...CHLA.1, Dissolved.Oxygen.Concentration...Final...DO_FINAL, Dissolved.Oxygen.Saturation...Final...DO_SAT_FINAL, Nitrate...Nitrite...NOX, Orthophosphate...PO4, pH...PH.2, Quality.code.27, Phaeophytin...PHAEO.1, Quality.code.28, Sal, Secchi.Depth...SECCHI.1, Quality.code.32, Total.Dissolved.Solids, Total.Nitrogen...Reported...TN.1, Quality.code.35, Total.Phosphorus...TP.1, Quality.code.36, ORP, Conductivity","11, 10, 11, 11, 1, 10, 10, 10, 10, 9, 9, 10, 9, 10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2023,"10, 5, 15.99, 10.16, 101.89, NA, NA, 3.72, NA, NA, NA, 23.09, 35.27, 36.81, NA, 3.09, NA, 0.44, 10.16, 101.89, NA, NA, 5.9, NA, NA, NA, 0.12, NA, NA, 0.16, 15.45, NA, 0.36, NA, 216.35, 247.02","Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"TR-49-01","Round Pond (East)",3,3,1,1,"2001, 2003, 2004","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3",2004,"7.4, 6.3, 24.6, 7.87, NA, NA, 6.19, NA, NA, NA, 30.44, 35.51, 33.48, NA","Pond and Lake Stewards"
"TR-50-01","Round Pond (West)",2,2,1,1,"2001, 2003","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2",2003,"9.7, 4.36, 23.75, 6.26, NA, NA, 30.97, NA, NA, NA, 53.65, 38.9, 38.78, NA","Pond and Lake Stewards"
"TR-52-01","Snow Pond",5,5,1,1,"2001, 2003, 2004, 2012, 2013","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",2013,"7, 5.8, 24, 7.63, NA, NA, 7.12, NA, NA, NA, 32.46, 31.17, 34.67, NA","Pond and Lake Stewards"
"WE-55-01","Williams Pond",3,1,1,1,"2001, 2003, 2004","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3",2004,"1.3, 1.3, 23.3, 8.13, NA, NA, 15.49, NA, NA, NA, 43.66, 40.42, 56.22, NA","Pond and Lake Stewards"
"WE-56-01","Herring Pond",4,4,2,1.25,"2001, 2003, 2004, 2023","Total.Depth...DTB, Secchi, Temp, DO, DO_sat, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Air.Temperature...AT, Alkalinity...ALK.1, Ammonium...NH4, Chlorophyll...CHLA.1, Dissolved.Oxygen.Concentration...Final...DO_FINAL, Dissolved.Oxygen.Saturation...Final...DO_SAT_FINAL, Nitrate...Nitrite...NOX, Orthophosphate...PO4, pH...PH.2, Quality.code.27, Phaeophytin...PHAEO.1, Quality.code.28, Sal, Secchi.Depth...SECCHI.1, Quality.code.32, Total.Dissolved.Solids, Total.Nitrogen...Reported...TN.1, Quality.code.35, Total.Phosphorus...TP.1, Quality.code.36, ORP, Conductivity","4, 3, 4, 4, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2023,"4.1, 0.5, 16.83, 9.75, 99.28, NA, NA, 40.27, NA, NA, NA, 57.44, 62.68, 69.99, NA, 8.68, NA, 4.08, 9.75, 99.28, NA, NA, 7.04, NA, NA, NA, 0.08, NA, NA, 51.37, 22.3, NA, 0.61, NA, 156.58, 161.94","Pond and Lake Stewards, Cape Cod Regional Pond Monitoring Program"
"WE-57-01","Higgins Pond",3,3,1,1,"2001, 2003, 2004","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3",2004,"6.1, 5, 24, 8.7, NA, NA, 9.6, NA, NA, NA, 36.76, 47.86, 36.81, NA","Pond and Lake Stewards"
"WE-59-01","Gull Pond",6,6,1,1,"2001, 2004, 2005, 2006, 2007, 2009","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6",2009,"20.5, 7.6, 19.39, 9.08, NA, NA, 3.3, NA, NA, NA, 21.37, 40.11, 30.77, NA","Pond and Lake Stewards"
"WE-60-01","Doanes Bog Pond",1,0,1,1,"2001","Total.Depth...DTB, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, Quality.code.27","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2001,"2, NA, NA, 28.81, NA, NA, NA, 52.61, 55.82, NA","Pond and Lake Stewards"
"WE-61-01","Kinnicum Pond",3,3,1,1,"2001, 2003, 2004","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3",2004,"3.7, 0.9, 24, 8.09, NA, NA, 3.1, NA, NA, NA, 20.46, 50.88, 61.52, NA","Pond and Lake Stewards"
"WE-64-01","Spectacle Pond",3,3,1,1,"2001, 2003, 2004","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3",2004,"7.1, 6, 19.88, 7.78, NA, NA, 5.27, NA, NA, NA, 28.12, 30.79, 34.18, NA","Pond and Lake Stewards"
"WE-65-01","Long Pond",6,6,1,1,"2001, 2003, 2005, 2006, 2007, 2011","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6",2011,"15.2, 8.5, 20.84, 8.46, NA, NA, 6.81, NA, NA, NA, 31.81, 13.22, 29.16, NA","Pond and Lake Stewards"
"WE-66-01","Northeast Pond",3,2,1,1,"2001, 2003, 2004","Total.Depth...DTB, Secchi, Temp, DO, Alkalinity, TP, TP_ugL, TN, Chlorophyll, Phaeophytin, CTI_TP, CTI_Chlorophyll, CTI_Secchi, Quality.code.27","3, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 2, 2, 3",2004,"3.1, 3.1, 24.7, 6.5, NA, NA, 8.98, NA, NA, NA, 35.8, 40.42, 43.7, NA","Pond and Lake Stewards"
