pond,Long,Lat,Last_year,Secchi,MLD,Temp,DO,DO_sat,Alk,TN,TP,NtP,Chla
BA / Bog Pond (BA-802-01),-70.39977623,41.63847318,2022,-0.031111111,NA,NA,NA,NA,1.8311111111111111,NA,NA,NA,NA
BA / Eagle Pond (BA-815-01),-70.42707111,41.63575782,2022,0.070909091,NA,0.1500000000000001,NA,NA,0.6777777777777777,NA,0.31,NA,NA
BA / Hathaway Pond (North) (BA-565-01),-70.31211495,41.68436809,2023,-0.215,NA,0.30833333333333357,-0.060357143,NA,0.17600000000000002,NA,NA,NA,NA
BA / Lewis Pond (BA-881-01),-70.44337258,41.61880544,2022,0.034999999999999996,NA,0.2999999999999998,NA,1.0943930315658803,0.9066666666666667,-12.04909693,NA,NA,-1.033636364
BA / Lovells Pond (BA-759-01),-70.44185441,41.64868502,2023,0.13529411764705881,NA,0.1999999999999993,NA,0.8787860823684507,0.8727272727272727,NA,NA,NA,-0.2675
BA / Mill Pond (BA-746-01),-70.4156647,41.65185758,2022,-0.025,NA,NA,NA,NA,1.2545454545454546,NA,NA,NA,NA
BA / Schoolhouse Pond (BA-806-01),-70.3038982,41.63656126,2022,0.09,NA,NA,NA,NA,3.9777777777777774,NA,NA,NA,-5.97
BR / Slough Pond (BR-321-01),-70.13172605,41.72444904,2023,-0.120833333,NA,NA,0.065454545,NA,0.20136363636363636,16.107704999999992,0.4715909090909091,NA,NA
DE / Eagle Pond (DE-447-01),-70.13604951,41.69823055,2018,0.11772727272727272,NA,0.1999999999999993,NA,NA,0.16,NA,NA,NA,NA
DE / Scargo Lake (DE-236-01),-70.18260056,41.74258839,2023,-0.082333333,NA,0.21000000000000038,NA,NA,0.667986111,5.139958660714285,NA,NA,NA
HA / Skinequit Pond (HA-629-01),-70.0428959,41.67377321,2021,-0.051212121,NA,NA,NA,NA,NA,NA,1.7177272727272728,NA,NA
MA / Moody Pond (MA-793-01),-70.51218495,41.6406531,2023,0.17048611111111112,NA,NA,NA,NA,0.2404040404040404,NA,NA,NA,-0.181964286
MA / Santuit Pond (MA-718-01),-70.45829171,41.6543552,2023,0.036,NA,0.17199999999999988,0.11049999999999986,1.4724562746965049,0.383,NA,NA,NA,NA
OR / Bolands Pond (OR-136-01),-69.99127656,41.78363529,2019,-0.077272727,NA,NA,NA,NA,0.38230769230769224,NA,2.04425,-1.673471015,NA
OR / Crystal Lake (OR-153-01),-69.9828278,41.77403482,2023,-0.120769231,NA,NA,NA,NA,0.28689285714285717,8.164738874999998,0.7203968253968255,-3.845631235,NA
OR / Meadow Bog Pond (OR-256-01),-69.97705086,41.73972104,2019,0.058030303,NA,NA,NA,NA,NA,-38.44672404,NA,NA,-4.018522727
