pond,Long,Lat,Last_year,Secchi,MLD,Temp,DO,DO_sat,Alk,TN,TP,NtP,Chla
BA / Hinckley Pond (BA-411-01),-70.32363714,41.704426840000004,2022,NA,NA,NA,NA,NA,1.7000000000000028,44.37400375000001,1.2424999999999993,NA,NA
BA / Joshua Pond (BA-807-01),-70.38101897,41.63657381,2022,NA,NA,NA,0.1033333333333335,NA,NA,11.079299699999998,0.5890909090909091,-7.1,NA
BA / Lake Elizabeth (BA-795-01),-70.3331665,41.63916259,2023,NA,NA,NA,-0.19107142857142861,-1.9442929634493775,3.060000000000001,-15.01518240000001,NA,NA,NA
BA / Lewis Pond (BA-881-01),-70.44337258,41.61880544,2022,0.034999999999999996,NA,0.2999999999999998,NA,1.0943930315658803,0.9066666666666667,-12.049096928571432,NA,NA,-1.0336363636363635
BA / Mary Dunn Pond (BA-646-01),-70.27769729,41.67458313,2022,NA,NA,NA,NA,NA,0.19999999999999996,22.270652999999925,NA,NA,NA
BA / Muddy Pond (BA-694-01),-70.43291737,41.66644256,2022,NA,NA,NA,NA,NA,0.76875,-27.3690918,NA,NA,NA
BA / Red Lily Pond (BA-782-01),-70.33040109,41.64223304,2022,NA,NA,0.42214285714285704,-0.31107142857142844,-3.1384916844375312,2.3520833333333333,-60.48793394999994,NA,-30.975125514020846,NA
BA / Shubael Pond (BA-664-01),-70.39340587,41.67196407,2022,NA,NA,NA,NA,NA,1.25,10.976159454545455,NA,NA,NA
BR / Cliff Pond (BR-1028-01),-70.02398814,41.75807499,2023,NA,NA,-0.13333333333333344,NA,NA,0.3999999999999999,23.671323,NA,NA,NA
BR / Long Pond (BR-279-01),-70.05891,41.72246,2023,NA,0.4,-0.27500000000000036,NA,NA,NA,-8.922267899999998,NA,NA,NA
BR / Slough Pond (BR-321-01),-70.13172605,41.72444904,2023,-0.12083333333333335,NA,NA,0.06545454545454543,NA,0.20136363636363636,16.107704999999992,0.4715909090909091,NA,NA
DE / Scargo Lake (DE-236-01),-70.18260056,41.74258839,2023,-0.08233333333333336,NA,0.21000000000000038,NA,NA,0.667986111111111,5.139958660714285,NA,NA,NA
EA / Jemima Pond (EA-100-01),-69.98465451,41.82962902,2022,NA,NA,NA,NA,NA,0.29999999999999993,17.959702000000007,NA,NA,NA
EA / Molls Pond (EA-91-01),-69.9759198,41.84500827,2022,NA,NA,NA,NA,NA,0.22316666666666668,20.48102771538462,0.9166666666666667,NA,NA
HA / Aunt Edies Pond (HA-376-01),-70.06786309,41.70795832,2021,NA,NA,NA,NA,1.1872173848334526,NA,24.664525363636358,1.2528571428571424,NA,NA
HA / Bucks Pond (HA-420-01),-70.04329917,41.70011211,2021,NA,NA,NA,NA,0.5901374941425495,0.6499999999999995,4.8743316,1.2908333333333333,-6.428571428571502,NA
HA / Hawksnest Pond (HA-354-01),-70.04485307,41.71375071,2023,NA,NA,NA,-0.06666666666666671,NA,NA,6.671858099999998,0.8997222222222222,-10.851366715045963,NA
HA / Walkers Pond (HA-358-01),-70.05142356,41.71261309,2023,NA,NA,NA,NA,0.5058399440633998,0.2341666666666667,23.478730875,1.432583333333333,-7.76538251366121,NA
OR / Crystal Lake (OR-153-01),-69.9828278,41.77403482,2023,-0.12076923076923075,NA,NA,NA,NA,0.28689285714285717,8.164738874999998,0.7203968253968255,-3.8456312349501145,NA
OR / Ice House Pond (OR-113-01),-69.9605268,41.79803844,2019,NA,NA,NA,NA,NA,NA,6.390556875000007,NA,NA,NA
OR / Meadow Bog Pond (OR-256-01),-69.97705086,41.73972104,2019,0.05803030303030303,NA,NA,NA,NA,NA,-38.44672403571428,NA,NA,-4.018522727272728
OR / Shoal Pond (OR-253-01),-69.98976358,41.74047397,2019,NA,NA,NA,NA,NA,0.8226767676767676,-15.570332567307709,NA,NA,NA
OR / Uncle Seths Pond (OR-264-01),-69.99708566,41.7378747,2019,NA,NA,NA,-0.2031250000000001,-2.125363006163698,0.8116666666666666,-14.972092343749999,NA,NA,NA
