pond,Long,Lat,Last_year,Temp,DO,DO_sat,Alk,TN,TP,NtP
BA / Garretts Pond (BA-510-01),-70.35145498,41.69270386,2023,-1.013333333333333,-0.13145833333333332,-1.405909949964888,0.7000000000000002,NA,2.55525,NA
BA / Hamblin Pond (BA-668-01),-70.4092998,41.66833883,2022,NA,-0.012361111111111111,-0.10020668625123849,NA,NA,-18.525625,2.6942370857468814
BA / Lewis Pond (BA-881-01),-70.44337258,41.61880544,2022,NA,-0.1775,-1.99077957503724,4.211111111111111,NA,4.955032467532467,-3.0894690525080755
BA / Middle Pond (BA-640-01),-70.41591144,41.67124972,2022,NA,NA,NA,1.1200000000000003,NA,1.1827272727272726,-1.4603365384615374
EA / Herring Pond (EA-103-01),-69.9859711,41.82523626,2023,0.23333333333333328,NA,NA,NA,NA,-6.057619047619047,NA
HA / Bucks Pond (HA-420-01),-70.04329917,41.70011211,2021,NA,NA,-2.420567462247944,1.2314285714285713,NA,1.7977777777777777,-2.494136794460033
HA / Josephs Pond (HA-416-01),-70.04943933,41.70080837,2021,NA,0.16,1.3690545766262134,1.4549999999999996,NA,1.6878124999999993,-4.04404942417988
HA / Sand Pond (HA-525-01),-70.11225496,41.68930926,2021,NA,NA,NA,1.06,NA,1.5075000000000003,-1.4776134359467668
OR / Deep Pond (OR-262-01),-69.99209299,41.73924515,2019,NA,NA,NA,1.2454545454545456,NA,1.304555555555555,NA
OR / Uncle Harveys Pond (OR-142-01),-69.95501333,41.77954119,2019,-0.4145833333333332,NA,NA,1.4625000000000004,63.294720999999996,7.0183333333333335,NA
