Total.Depth,Secchi,Temp,DO,pH,Alk,TP,TN,Chla,Phaeo,CTI_TP,CTI_Chlorophyll,CTI_Secchi
266770,266770,259415,264373,267443,271178,266863,257952,253582,265693,256627,340882,265693
263075,259289,259115,266863,267443,339037,269200,341280,265693,259650,264386,341039,259650
264464,340975,259115,340007,267593,,256642,341298,259650,266912,253439,340941,259398
263020,264425,259115,267150,267643,,260827,258173,270750,256642,269366,271302,
340975,260086,259115,267070,267643,,266013,341285,269053,255091,267443,271085,
263123,257183,263682,255674,267784,,257952,257993,253567,259930,267539,266384,
271111,268699,260186,271505,267767,,269366,258295,256804,256691,267593,267767,
271276,338354,266863,267383,267738,,259069,339316,256691,259980,267643,,
271106,338354,263641,263677,259650,,263641,270738,263405,261084,257423,,
271102,338297,263634,263654,266863,,267443,339369,260962,260962,267792,,
263396,255951,263669,263645,265985,,267411,270246,260748,255674,267767,,
255754,271850,263628,255712,263405,,267539,,254188,260192,267738,,
271505,262323,263677,267539,257952,,267528,,254193,260143,,,
257147,271864,263654,258221,259864,,267514,,271539,268699,,,
271733,258395,263645,268643,267443,,267460,,258173,268738,,,
338297,,263663,267469,267539,,267469,,341285,337714,,,
269991,,267539,267593,267528,,267593,,265092,337704,,,
271715,,267469,267643,260156,,267643,,339343,339539,,,
269961,,267593,254447,260143,,267811,,339695,270708,,,
271757,,267643,339037,267469,,267784,,262193,257362,,,
271843,,265341,267811,267593,,267792,,270738,339813,,,
270025,,267811,267784,267643,,267767,,254727,339504,,,
258316,,267784,267792,267811,,267738,,,257492,,,
268887,,267792,267767,267738,,,,,,,,
266557,,267767,267738,,,,,,,,,
258395,,267738,,,,,,,,,,
257397,,,,,,,,,,,,
258463,,,,,,,,,,,,
